SEXO,EDAD
Mujer,29
Mujer,6
Hombre,7
Hombre,11
Mujer,12
Mujer,19
Hombre,20
Mujer,16
Hombre,20
Mujer,21
Mujer,22
Hombre,10
Hombre,14
Mujer,13
Hombre,15
Hombre,18
Hombre,5
Mujer,9
Hombre,12
Mujer,5
Hombre,22
Hombre,28
Mujer,28
Hombre,21
Hombre,21
Hombre,27
Mujer,6
Mujer,5
Mujer,6
Mujer,28
Hombre,7
Mujer,10
Hombre,11
Hombre,12
Hombre,28
Mujer,28
Mujer,17
Hombre,18
Mujer,25
Hombre,17
Hombre,18
Hombre,3
Hombre,3
Mujer,10
Mujer,14
Hombre,16
Mujer,21
Hombre,21
Mujer,14
Hombre,18
Hombre,21
Mujer,6
Hombre,18
Mujer,3
Mujer,24
Hombre,25
Mujer,22
Hombre,28
Mujer,23
Hombre,24
Mujer,3
Hombre,6
Mujer,8
Mujer,29
Hombre,18
Hombre,18
Mujer,9
Mujer,13
Hombre,24
Mujer,25
Hombre,25
Mujer,9
Hombre,15
Hombre,15
Hombre,20
Mujer,19
Mujer,25
Hombre,18
Hombre,21
Hombre,10
Hombre,16
Mujer,20
Hombre,23
Hombre,9
Hombre,14
Mujer,8
Hombre,15
Mujer,17
Hombre,4
Mujer,16
Mujer,28
Hombre,15
Mujer,15
Hombre,21
Hombre,10
Mujer,12
Hombre,26
Mujer,26
Hombre,23
Hombre,24
Mujer,23
Mujer,24
Mujer,12
Hombre,24
Hombre,21
Mujer,4
Mujer,21
Hombre,24
Hombre,29
Hombre,3
Mujer,6
Hombre,15
Mujer,21
Mujer,22
Mujer,22
Hombre,12
Hombre,18
Mujer,25
Mujer,15
Mujer,27
Mujer,10
Mujer,11
Hombre,16
Mujer,4
Mujer,9
Hombre,16
Hombre,3
Hombre,5
Hombre,10
Mujer,28
Hombre,28
Mujer,8
Mujer,10
Mujer,15
Hombre,17
Mujer,13
Mujer,18
Mujer,19
Mujer,22
Hombre,4
Hombre,5
Mujer,9
Hombre,27
Hombre,9
Hombre,14
Hombre,18
Hombre,7
Hombre,12
Hombre,29
Hombre,12
Mujer,16
Hombre,16
Hombre,22
Mujer,7
Mujer,7
Hombre,10
Hombre,29
Mujer,29
Mujer,14
Mujer,8
Hombre,15
Mujer,17
Mujer,10
Mujer,13
Mujer,15
Mujer,20
Hombre,24
Hombre,28
Hombre,5
Hombre,6
Mujer,6
Hombre,14
Mujer,17
Hombre,23
Hombre,26
Hombre,20
Mujer,6
Hombre,18
Mujer,22
Hombre,18
Hombre,20
Hombre,5
Mujer,26
Hombre,27
Hombre,29
Hombre,4
